molecule_chembl_id,canonical_smiles,standard_value,molecule_pref_name,standard_type,standard_units,assay_type,target_tax_id
CHEMBL319556,O=C1NCc2c(-c3ccc(F)cc3F)cc(C3CCNCC3)cc2N1c1c(Cl)cccc1Cl,10000.0,,IC50,nM,B,9606
CHEMBL538798,CC(C)N(CCC(=O)c1ccc2ccccc2c1)Cc1ccccc1.Cl,39810.72,,IC50,nM,B,9606
CHEMBL154580,C=CC(=O)c1ccc2ccccc2c1,19952.62,,IC50,nM,B,9606
CHEMBL554,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,,LAPATINIB,Kd,,B,9606
CHEMBL607707,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,,PELITINIB,Kd,,B,9606
CHEMBL101253,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,,VATALANIB,Kd,,B,9606
CHEMBL535,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,9.2,SUNITINIB,Kd,nM,B,9606
CHEMBL124660,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,,TANDUTINIB,Kd,,B,9606
CHEMBL91829,CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1,,RUBOXISTAURIN,Kd,,B,9606
CHEMBL1336,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,,SORAFENIB,Kd,,B,9606
CHEMBL14762,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,,SELICICLIB,Kd,,B,9606
CHEMBL428690,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,,ALVOCIDIB,Kd,,B,9606
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,STAUROSPORINE,Kd,,B,9606
CHEMBL278041,Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,,SB-202190,Kd,,B,9606
CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,,SB-203580,Kd,,B,9606
CHEMBL119385,O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl,,NEFLAMAPIMOD,Kd,,B,9606
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,,DORAMAPIMOD,Kd,,B,9606
CHEMBL1725279,Oc1c2ccccc2c2c3c(cccc13)N=N2,,SP-600125,Kd,,B,9606
CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,,IMATINIB,Kd,,B,9606
CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,,GEFITINIB,Kd,,B,9606
CHEMBL553,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,,ERLOTINIB,Kd,,B,9606
CHEMBL24828,COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1,,VANDETANIB,Kd,,B,9606
CHEMBL31965,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,,CANERTINIB,Kd,,B,9606
CHEMBL386637,CN(C)[C@H]1CCCN(c2ccc(C(F)(F)F)cc2NC(=O)c2cc(C#Cc3cnc(N)nc3)ccc2F)C1,1300.0,,IC50,nM,B,9606
CHEMBL535,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,9.0,SUNITINIB,Kd,nM,B,9606
CHEMBL524195,CCOC(=O)c1cn(-c2c(F)c(F)c(C#N)c(F)c2F)c2c(F)c(F)c(F)cc2c1=O,,,Activity,,B,9606
CHEMBL524195,CCOC(=O)c1cn(-c2c(F)c(F)c(C#N)c(F)c2F)c2c(F)c(F)c(F)cc2c1=O,,,Activity,,B,9606
CHEMBL524195,CCOC(=O)c1cn(-c2c(F)c(F)c(C#N)c(F)c2F)c2c(F)c(F)c(F)cc2c1=O,,,Activity,,B,9606
CHEMBL21156,CC(C)(C)c1nc2c3ccc(F)cc3c3c(=O)[nH]ccc3c2[nH]1,15.0,,IC50,nM,B,9606
CHEMBL257167,NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O,,,Activity,,B,9606
CHEMBL514582,NC(=O)c1ccc(-c2cc(C(N)=O)c(N)c(-c3ccc(S(N)(=O)=O)cc3)c2)cc1,,,Activity,,B,9606
CHEMBL233000,N#Cc1c(NC(=O)c2ccccc2)sc2c1CCCC2,,,Activity,,B,9606
CHEMBL516312,N#Cc1ccc(-c2cnc3[nH]cc(NC(=O)c4cccnc4)c3c2)cc1,,,Activity,,B,9606
CHEMBL86755,O=C1Nc2ccccc2/C1=C/c1ccc[nH]1,7.4,,Activity,%,B,9606
CHEMBL514409,CCS(=O)(=O)Nc1ccc2c(c1)/C(=C(/Nc1ccc(CN3CCCCC3)cc1)c1ccccc1)C(=O)N2,1.8,HESPERADIN,Activity,%,B,9606
CHEMBL526901,CC(=O)c1c(-c2ccncc2)[nH]c(-c2ccncc2)c1C,,,Activity,,B,9606
CHEMBL572878,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,,TOZASERTIB,Activity,,B,9606
CHEMBL249097,Cc1ccc(O)cc1Nc1ccnc(Nc2cccc(C(N)=O)c2)n1,,,Activity,,B,9606
CHEMBL511337,NC(=O)c1ccc(Nc2cc(-c3ccc(F)cc3)[nH]n2)cc1,,,Activity,,B,9606
CHEMBL450519,Nc1ncnc2c1c(-c1cccc(O)c1)cn2C1CCNCC1,,,Activity,,B,9606
CHEMBL478649,Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cc1,,,Activity,,B,9606
CHEMBL515466,Cc1ccc(C(=O)Nc2cccc(C(C)(C)C)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1,,,Activity,,B,9606
CHEMBL221959,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,112.0,TOFACITINIB,IC50,nM,B,9606
CHEMBL221959,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,1.7,TOFACITINIB,Kd,nM,B,9606
CHEMBL1964275,Cc1ccc(NC(=O)c2cccc(N3CCCCC3)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1,,,Activity,,B,9606
CHEMBL282342,CN(C)c1ccc(-c2cc3ncccc3c(NCCCCN)n2)cc1,,,Activity,,B,9606
CHEMBL408019,O=C(Nc1n[nH]c2nc(-c3cccc(O)c3)ccc12)C1CC1,,,Activity,,B,9606
CHEMBL261454,c1ccc(-c2n[nH]cc2-c2ccnc3ccccc23)nc1,,,Activity,,B,9606
CHEMBL221959,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,112.0,TOFACITINIB,IC50,nM,B,9606
CHEMBL56543,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCc1ccccc1,3380.0,,IC50,nM,B,9606
CHEMBL405130,COc1cc2ncnc(Nc3ccc(O)cc3)c2cc1OC,10000.0,WHI-P131,IC50,nM,B,9606
CHEMBL473773,COc1cc2ncnc(Nc3ccc(O)c(Br)c3)c2cc1OC,10000.0,,IC50,nM,B,9606
CHEMBL560733,Cc1cc(O)cc(-c2nn(CC#N)cc2-c2cc(NC[C@H](C)O)nc(-c3cccnc3)n2)c1,9.15,,Inhibition,%,B,9606
CHEMBL223360,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,10000.0,LINIFANIB,Kd,nM,B,9606
CHEMBL572881,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21,10000.0,MOTESANIB,Kd,nM,B,9606
CHEMBL574738,CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1,10000.0,AST-487,Kd,nM,B,9606
CHEMBL215152,CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1,10000.0,AZD-1152-HQPA,Kd,nM,B,9606
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,10000.0,DORAMAPIMOD,Kd,nM,B,9606
CHEMBL296468,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,10000.0,BMS-387032,Kd,nM,B,9606
CHEMBL522892,CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1,380.0,DOVITINIB,Kd,nM,B,9606
CHEMBL558752,Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21,10000.0,RAF-265,Kd,nM,B,9606
